Workload,Algorithm,Average Waiting Time,Average Turnaround Time,CPU Utilization,Throughput
Small,FCFS,11.4,17.0,100.0,0.1786
Small,SJF,8.2,13.8,100.0,0.1786
Small,Priority,10.6,16.2,100.0,0.1786
Small,Round Robin,13.0,18.6,100.0,0.1786
Small,SRTF,6.6,12.2,100.0,0.1786
Small,HRRN,8.2,13.8,100.0,0.1786
Medium,FCFS,140.97,151.97,100.0,0.0909
Medium,SJF,101.63,112.63,100.0,0.0909
Medium,Priority,150.1,161.1,100.0,0.0909
Medium,Round Robin,198.43,209.43,100.0,0.0909
Medium,SRTF,101.53,112.53,100.0,0.0909
Medium,HRRN,104.23,115.23,100.0,0.0909
Large,FCFS,708.48,723.85,99.93,0.065
Large,SJF,497.12,512.49,99.93,0.065
Large,Priority,741.7,757.07,99.93,0.065
Large,Round Robin,984.27,999.64,99.93,0.065
Large,SRTF,497.03,512.4,99.93,0.065
Large,HRRN,498.96,514.33,99.93,0.065
